Rank,Name,Genre,ESRB_Rating,Platform,Publisher,Developer,Critic_Score,User_Score,Total_Shipped,Global_Sales,NA_Sales,PAL_Sales,JP_Sales,Other_Sales,Year
23021,Arena: Maze of Death,Shooter,E,GG,Sega,Eden Entertainment Software,,,,,,,,,1996.0
23022,Ares Rising,Simulation,E,PC,Unknown,Imagine Studios,,,,,,,,,1998.0
23023,Aretha,Role-Playing,,GB,Yanoman,Yanoman,,,,,,,,,1990.0
23024,Aretha,Role-Playing,,SNES,Yanoman,Yanoman,,,,,,,,,1993.0
23025,Aretha II,Role-Playing,,GB,Yanoman,Yanoman,,,,,,,,,1991.0
23026,Aretha II: Ariel no Fushigi na Tabi,Role-Playing,,SNES,Yanoman,Japan Art Media (JAM),,,,,,,,,1994.0
23027,Aretha III,Role-Playing,,GB,Yanoman,Yanoman,,,,,,,,,1992.0
23028,Argo,Misc,,PC,Halfbrick Studios,Unknown,,,,,,,,,2014.0
23029,Argos no Juujiken,Platform,,MS,Salio,Tecmo,,,,,,,,,1988.0
23030,Aria,Shooter,,XBL,Microsoft,SRH,,,,,,,,,2009.0
23031,Ariel: The Little Mermaid,Action,,GG,Sega,Blue Sky Software,,,,,,,,,1992.0
23032,Aritana and the Harpy's Feather,Platform,E,OSX,Duaik Entretenimento,Duaik Entretenimento,,,,,,,,,2014.0
23033,Aritana and the Harpy's Feather,Platform,E,PC,Duaik Entretenimento,Duaik Entretenimento,,,,,,,,,2014.0
23034,Ark no 10-Punkan Eigo Master: Chuukyuu,Misc,,DS,Interchannel-Holon,Interchannel-Holon Inc.,,,,,,,,,2007.0
23035,Ark no 10-Punkan Eigo Master: Joukyuu,Misc,,DS,Interchannel-Holon,Interchannel-Holon Inc.,,,,,,,,,2007.0
23036,Ark no 10-Punkan Eigo Master: Shokyuu,Misc,,DS,Interchannel-Holon,Interchannel-Holon Inc.,,,,,,,,,2007.0
23037,Ark of Time,Adventure,,PS,Project Two Interactive,ICE,,,,,,,,,1998.0
23038,Ark of Time,Adventure,E,PC,KOEI,Trecision,,,,,,,,,1997.0
23039,Arkadian Warriors,Action,E10,XBL,Sierra Online,Wanako Studios,4.9,,,,,,,,2007.0
23040,Arkana Senki Ludo,Misc,,PS,Pai,Falcon,,,,,,,,,1998.0
23041,Arkanoid,Puzzle,,NES,Taito,Taito Corporation,,,,,,,,,1987.0
23042,Arkanoid,Puzzle,,PC,Taito,Taito Corporation,,,,,,,,,1988.0
23043,Arkanoid II: Revenge of Doh,Puzzle,,NES,Taito,Taito Corporation,,,,,,,,,1988.0
23044,Arkanoid II: Revenge of Doh,Puzzle,,PC,Taito,NovaLogic,,,,,,,,,1989.0
23045,Arkanoid Live!,Puzzle,E,XBL,Taito,Taito Corporation,,,,,,,,,2009.0
23046,Arkanoid Plus!,Puzzle,E,WW,Taito,Taito Corporation,,,,,,,,,2009.0
23047,Arkanoid R 2000,Puzzle,,PS,Taito,Taito Corporation,,,,,,,,,1999.0
23048,Arkanoid Returns,Puzzle,,PS,Taito,Taito Corporation,,,,,,,,,1997.0
23049,Arkanoid Returns,Puzzle,,PSN,Taito,Taito Corporation,,,,,,,,,2008.0
23050,Arkanoid: Doh It Again,Puzzle,E,SNES,Nintendo,Taito Corporation,,,,,,,,,1997.0
23051,Arkedo Series - 01 JUMP!,Platform,,XBL,Microsoft,Arkedo,,,,,,,,,2009.0
23052,Arkedo Series - 02 SWAP!,Puzzle,,XBL,Microsoft,Arkedo,,,,,,,,,2009.0
23053,Arkedo Series - 03 PIXEL!,Platform,,XBL,Microsoft,Arkedo,,,,,,,,,2009.0
23054,Arkista's Ring,Action,,NES,American Sammy,Sammy,,,,,,,,,1989.0
23055,ArkX,Misc,,XBL,Microsoft,ralph78fr,,,,,,,,,2009.0
23056,Arle no Bouken: Mahou no Jewel,Role-Playing,,GB,Compile,Compile,,,,,,,,,2000.0
23057,ArmA II,Shooter,,X360,Unknown,Bohemia Interactive,,,,,,,,,2000.0
23058,ArmA X: 10th Anniversary Edition,Shooter,M,PC,Meridian4,Meridian 4,,,,,,,,,2011.0
23059,ArmA X: Anniversary Edition,Misc,M,PC,Unknown,Bohemia Interactive,,,,,,,,,2011.0
